module,type,name,res_id,src,value
academy,model,"ir.ui.menu,name",academy.menu_academy,Academy,
academy,view,website,academy.biography,Academy,
academy,view,website,academy.index,Academy,
academy,model,"ir.ui.menu,name",academy.menu_academy_content,Academy Content,
academy,model,"ir.actions.act_window,name",academy.action_academy_teachers,Academy teachers,
academy,model,"ir.ui.menu,name",academy.menu_academy_content_teachers,Academy teachers,
academy,field,"academy.teachers,biography",0,Biography,
academy,model,"product.template,name",academy.course0,Course 0,
academy,model,"product.template,name",academy.course1,Course 1,
academy,model,"product.template,name",academy.course2,Course 2,
academy,view,academy.teachers,academy.academy_teacher_form,Courses,
academy,field,"academy.teachers,course_ids",0,Courses,
academy,model,"product.public.category,name",academy.category_courses,Courses,
academy,field,"academy.teachers,create_uid",0,Created by,
academy,field,"academy.teachers,create_date",0,Created on,
academy,field,"academy.teachers,id",0,ID,
academy,field,"academy.teachers,write_uid",0,Last Updated by,
academy,field,"academy.teachers,write_date",0,Last Updated on,
academy,view,website,academy.biography,Last modified:,
academy,field,"academy.teachers,name",0,Name,
academy,model,"ir.model,name",academy.model_product_template,Product Template,
academy,field,"product.template,teacher_id",0,Teacher,
academy,view,website,website_sale.products_item,product.price > 0,
account,model,"email.template,body_html",account.email_template_edi_invoice,"
<div style=""font-family: 'Lucica Grande', Ubuntu, Arial, Verdana, sans-serif; font-size: 12px; color: rgb(34, 34, 34); background-color: #FFF; "">

    <p>Hello ${object.partner_id.name},</p>

    <p>A new invoice is available for you: </p>
    
    <p style=""border-left: 1px solid #8e0000; margin-left: 30px;"">
       &nbsp;&nbsp;<strong>REFERENCES</strong><br />
       &nbsp;&nbsp;Invoice number: <strong>${object.number}</strong><br />
       &nbsp;&nbsp;Invoice total: <strong>${object.amount_total} ${object.currency_id.name}</strong><br />
       &nbsp;&nbsp;Invoice date: ${object.date_invoice}<br />
       % if object.origin:
       &nbsp;&nbsp;Order reference: ${object.origin}<br />
       % endif
       % if object.user_id:
       &nbsp;&nbsp;Your contact: <a href=""mailto:${object.user_id.email or ''}?subject=Invoice%20${object.number}"">${object.user_id.name}</a>
       % endif
    </p>  
    
    % if object.paypal_url:
    <br/>
    <p>It is also possible to directly pay with Paypal:</p>
        <a style=""margin-left: 120px;"" href=""${object.paypal_url}"">
            <img class=""oe_edi_paypal_button"" src=""/account/static/src/img/btn_paynowcc_lg.gif""/>
        </a>
    % endif
    
    <br/>
    <p>If you have any question, do not hesitate to contact us.</p>
    <p>Thank you for choosing ${object.company_id.name or 'us'}!</p>
    <br/>
    <br/>
    <div style=""width: 375px; margin: 0px; padding: 0px; background-color: #8E0000; border-top-left-radius: 5px 5px; border-top-right-radius: 5px 5px; background-repeat: repeat no-repeat;"">
        <h3 style=""margin: 0px; padding: 2px 14px; font-size: 12px; color: #DDD;"">
            <strong style=""text-transform:uppercase;"">${object.company_id.name}</strong></h3>
    </div>
    <div style=""width: 347px; margin: 0px; padding: 5px 14px; line-height: 16px; background-color: #F2F2F2;"">
        <span style=""color: #222; margin-bottom: 5px; display: block; "">
        % if object.company_id.street:
            ${object.company_id.street}<br/>
        % endif
        % if object.company_id.street2:
            ${object.company_id.street2}<br/>
        % endif
        % if object.company_id.city or object.company_id.zip:
            ${object.company_id.zip} ${object.company_id.city}<br/>
        % endif
        % if object.company_id.country_id:
            ${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}<br/>
        % endif
        </span>
        % if object.company_id.phone:
            <div style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; "">
                Phone:&nbsp; ${object.company_id.phone}
            </div>
        % endif
        % if object.company_id.website:
            <div>
                Web :&nbsp;<a href=""${object.company_id.website}"">${object.company_id.website}</a>
            </div>
        %endif
        <p></p>
    </div>
</div>
            ",
account,help,"account.invoice,state",0," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.
 * The 'Pro-forma' when invoice is in Pro-forma status,invoice does not have an invoice number.
 * The 'Open' status is used when user create invoice,a invoice number is generated.Its in open status till user does not pay invoice.
 * The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
 * The 'Cancelled' status is used when user cancel invoice.",
account,code,addons\account\account.py,1465, Centralisation,
account,field,"analytic.entries.report,nbr",0,# Entries,
account,field,"account.chart.template,code_digits",0,# of Digits,
account,field,"account.config.settings,code_digits",0,# of Digits,
account,field,"wizard.multi.charts.accounts,code_digits",0,# of Digits,
account,view,account.entries.report,account.view_account_entries_report_tree,# of Entries,
account,field,"account.invoice.report,nbr",0,# of Invoices,
account,field,"account.entries.report,nbr",0,# of Items,
account,view,account.entries.report,account.view_account_entries_report_tree,# of Products Qty,
account,field,"account.move.line.reconcile,trans_nbr",0,# of Transaction,
account,model,"email.template,subject",account.email_template_edi_invoice,${object.company_id.name|safe} Invoice (Ref ${object.number or 'n/a'}),
account,code,addons\account\account.py,1860,%s (Copy),
account,code,addons\account\account.py,635,%s (copy),
account,code,addons\account\account.py,786,%s (copy),
account,code,addons\account\account.py,787,%s (copy),
account,view,website,account.report_partnerbalance,(Account/Partner) Name,
account,view,account.chart,account.view_account_chart,"(If you do not select a specific fiscal year, all open fiscal years will be selected.)",
account,view,account.tax.chart,account.view_account_tax_chart,"(If you do not select a specific period, all open periods will be selected)",
account,view,account.state.open,account.view_account_state_open,(Invoice should be unreconciled if you want to open it),
account,view,account.analytic.chart,account.account_analytic_chart_view,(Keep empty to open the current situation),
account,view,project.account.analytic.line,account.view_project_account_analytic_line_form,(Keep empty to open the current situation),
account,view,account.invoice,account.invoice_form,(change),
account,view,account.bank.statement,account.view_bank_statement_form,(update),
account,view,account.invoice,account.invoice_form,(update),
account,view,account.invoice,account.invoice_supplier_form,(update),
account,view,account.bank.statement,account.view_bank_statement_form2,+ Transactions,
account,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,
account,model,"account.payment.term,note",account.account_payment_term_15days,15 Days,
account,selection,"account.config.settings,period",0,3 Monthly,
account,selection,"account.installer,period",0,3 Monthly,
account,model,"account.payment.term,name",account.account_payment_term,30 Days End of Month,
account,model,"account.payment.term,note",account.account_payment_term,30 Days End of Month,
account,model,"account.payment.term,name",account.account_payment_term_net,30 Net Days,
account,model,"account.payment.term,note",account.account_payment_term_net,30 Net Days,
account,model,"account.payment.term,name",account.account_payment_term_advance,30% Advance End 30 Days,
account,model,"account.payment.term,note",account.account_payment_term_advance,30% Advance End 30 Days,
account,view,website,account.report_generalledger,: General ledger,
account,view,website,account.report_trialbalance,: Trial Balance,
account,model,"ir.actions.act_window,help",account.action_account_period,"<p class=""oe_view_nocontent_create"">
                Click to add a fiscal period.
              </p><p>
                An accounting period typically is a month or a quarter. It
                usually corresponds to the periods of the tax declaration.
              </p>
            ",
account,model,"ir.actions.act_window,help",account.action_account_journal_form,"<p class=""oe_view_nocontent_create"">
                Click to add a journal.
              </p><p>
                A journal is used to record transactions of all accounting data
                related to the day-to-day business.
              </p><p>
                A typical company may use one journal per payment method (cash,
                bank accounts, checks), one purchase journal, one sale journal
                and one for miscellaneous information.
              </p>
            ",
account,model,"ir.actions.act_window,help",account.action_account_form,"<p class=""oe_view_nocontent_create"">
                Click to add an account.
              </p><p>
                An account is part of a ledger allowing your company
                to register all kinds of debit and credit transactions.
                Companies present their annual accounts in two main parts: the
                balance sheet and the income statement (profit and loss
                account). The annual accounts of a company are required by law
                to disclose a certain amount of information.
              </p>
            ",
account,model,"ir.actions.act_window,help",account.action_account_gain_loss,"<p class=""oe_view_nocontent_create"">
                Click to add an account.
              </p><p>
                When doing multi-currency transactions, you may loose or gain
                some amount due to changes of exchange rate. This menu gives
                you a forecast of the Gain or Loss you'd realized if those
                transactions were ended today. Only for accounts having a
                secondary currency set.
              </p>
            ",
account,model,"ir.actions.act_window,help",account.action_invoice_tree1,"<p class=""oe_view_nocontent_create"">
                Click to create a customer invoice.
              </p><p>
                Odoo's electronic invoicing allows to ease and fasten the
                collection of customer payments. Your customer receives the
                invoice by email and he can pay online and/or import it
                in his own system.
              </p><p>
                The discussions with your customer are automatically displayed at
                the bottom of each invoice.
              </p>
            ",
account,model,"ir.actions.act_window,help",account.action_invoice_tree3,"<p class=""oe_view_nocontent_create"">
                Click to create a customer refund.
              </p><p>
                A refund is a document that credits an invoice completely or
                partially.
              </p><p>
                Instead of manually creating a customer refund, you
                can generate it directly from the related customer invoice.
              </p>
            ",
account,model,"ir.actions.act_window,help",account.action_move_journal_line,"<p class=""oe_view_nocontent_create"">
                Click to create a journal entry.
              </p><p>
                A journal entry consists of several journal items, each of
                which is either a debit or a credit transaction.
              </p><p>
                Odoo automatically creates one journal entry per accounting
                document: invoice, refund, supplier payment, bank statements,
                etc. So, you should record journal entries manually only/mainly
                for miscellaneous operations.
              </p>
            ",
