module,type,name,res_id,src,value
academy,model,"ir.ui.menu,name",academy.menu_academy,Academy,Academy
academy,view,website,academy.biography,Academy,Academy
academy,view,website,academy.index,Academy,Academy
academy,model,"ir.ui.menu,name",academy.menu_academy_content,Academy Content,Academy Content
academy,model,"ir.actions.act_window,name",academy.action_academy_teachers,Academy teachers,Academy teachers
academy,model,"ir.ui.menu,name",academy.menu_academy_content_teachers,Academy teachers,Academy teachers
academy,field,"academy.teachers,biography",0,Biography,Biography
academy,model,"product.template,name",academy.course0,Course 0,Course 0
academy,model,"product.template,name",academy.course1,Course 1,Course 1
academy,model,"product.template,name",academy.course2,Course 2,Course 2
academy,view,academy.teachers,academy.academy_teacher_form,Courses,Courses
academy,field,"academy.teachers,course_ids",0,Courses,Courses
academy,model,"product.public.category,name",academy.category_courses,Courses,Courses
academy,field,"academy.teachers,create_uid",0,Created by,Created by
academy,field,"academy.teachers,create_date",0,Created on,Created on
academy,field,"academy.teachers,id",0,ID,ID
academy,field,"academy.teachers,write_uid",0,Last Updated by,Last Updated by
academy,field,"academy.teachers,write_date",0,Last Updated on,Last Updated on
academy,view,website,academy.biography,Last modified:,Last modified:
academy,field,"academy.teachers,name",0,Name,Name
academy,model,"ir.model,name",academy.model_product_template,Product Template,产品模板
academy,field,"product.template,teacher_id",0,Teacher,Teacher
academy,view,website,website_sale.products_item,product.price > 0,product.price > 0
account,model,"email.template,body_html",account.email_template_edi_invoice,"
<div style=""font-family: 'Lucica Grande', Ubuntu, Arial, Verdana, sans-serif; font-size: 12px; color: rgb(34, 34, 34); background-color: #FFF; "">

    <p>Hello ${object.partner_id.name},</p>

    <p>A new invoice is available for you: </p>
    
    <p style=""border-left: 1px solid #8e0000; margin-left: 30px;"">
       &nbsp;&nbsp;<strong>REFERENCES</strong><br />
       &nbsp;&nbsp;Invoice number: <strong>${object.number}</strong><br />
       &nbsp;&nbsp;Invoice total: <strong>${object.amount_total} ${object.currency_id.name}</strong><br />
       &nbsp;&nbsp;Invoice date: ${object.date_invoice}<br />
       % if object.origin:
       &nbsp;&nbsp;Order reference: ${object.origin}<br />
       % endif
       % if object.user_id:
       &nbsp;&nbsp;Your contact: <a href=""mailto:${object.user_id.email or ''}?subject=Invoice%20${object.number}"">${object.user_id.name}</a>
       % endif
    </p>  
    
    % if object.paypal_url:
    <br/>
    <p>It is also possible to directly pay with Paypal:</p>
        <a style=""margin-left: 120px;"" href=""${object.paypal_url}"">
            <img class=""oe_edi_paypal_button"" src=""/account/static/src/img/btn_paynowcc_lg.gif""/>
        </a>
    % endif
    
    <br/>
    <p>If you have any question, do not hesitate to contact us.</p>
    <p>Thank you for choosing ${object.company_id.name or 'us'}!</p>
    <br/>
    <br/>
    <div style=""width: 375px; margin: 0px; padding: 0px; background-color: #8E0000; border-top-left-radius: 5px 5px; border-top-right-radius: 5px 5px; background-repeat: repeat no-repeat;"">
        <h3 style=""margin: 0px; padding: 2px 14px; font-size: 12px; color: #DDD;"">
            <strong style=""text-transform:uppercase;"">${object.company_id.name}</strong></h3>
    </div>
    <div style=""width: 347px; margin: 0px; padding: 5px 14px; line-height: 16px; background-color: #F2F2F2;"">
        <span style=""color: #222; margin-bottom: 5px; display: block; "">
        % if object.company_id.street:
            ${object.company_id.street}<br/>
        % endif
        % if object.company_id.street2:
            ${object.company_id.street2}<br/>
        % endif
        % if object.company_id.city or object.company_id.zip:
            ${object.company_id.zip} ${object.company_id.city}<br/>
        % endif
        % if object.company_id.country_id:
            ${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}<br/>
        % endif
        </span>
        % if object.company_id.phone:
            <div style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; "">
                Phone:&nbsp; ${object.company_id.phone}
            </div>
        % endif
        % if object.company_id.website:
            <div>
                Web :&nbsp;<a href=""${object.company_id.website}"">${object.company_id.website}</a>
            </div>
        %endif
        <p></p>
    </div>
</div>
            ","
<div style=""font-family: 'Lucica Grande', Ubuntu, Arial, Verdana, sans-serif; font-size: 12px; color: rgb(34, 34, 34); background-color: #FFF; "">

    <p>Hello ${object.partner_id.name},</p>

    <p>A new invoice is available for you: </p>
    
    <p style=""border-left: 1px solid #8e0000; margin-left: 30px;"">
       &nbsp;&nbsp;<strong>REFERENCES</strong><br />
       &nbsp;&nbsp;Invoice number: <strong>${object.number}</strong><br />
       &nbsp;&nbsp;Invoice total: <strong>${object.amount_total} ${object.currency_id.name}</strong><br />
       &nbsp;&nbsp;Invoice date: ${object.date_invoice}<br />
       % if object.origin:
       &nbsp;&nbsp;Order reference: ${object.origin}<br />
       % endif
       % if object.user_id:
       &nbsp;&nbsp;Your contact: <a href=""mailto:${object.user_id.email or ''}?subject=Invoice%20${object.number}"">${object.user_id.name}</a>
       % endif
    </p>  
    
    % if object.paypal_url:
    <br/>
    <p>It is also possible to directly pay with Paypal:</p>
        <a style=""margin-left: 120px;"" href=""${object.paypal_url}"">
            <img class=""oe_edi_paypal_button"" src=""/account/static/src/img/btn_paynowcc_lg.gif""/>
        </a>
    % endif
    
    <br/>
    <p>If you have any question, do not hesitate to contact us.</p>
    <p>Thank you for choosing ${object.company_id.name or 'us'}!</p>
    <br/>
    <br/>
    <div style=""width: 375px; margin: 0px; padding: 0px; background-color: #8E0000; border-top-left-radius: 5px 5px; border-top-right-radius: 5px 5px; background-repeat: repeat no-repeat;"">
        <h3 style=""margin: 0px; padding: 2px 14px; font-size: 12px; color: #DDD;"">
            <strong style=""text-transform:uppercase;"">${object.company_id.name}</strong></h3>
    </div>
    <div style=""width: 347px; margin: 0px; padding: 5px 14px; line-height: 16px; background-color: #F2F2F2;"">
        <span style=""color: #222; margin-bottom: 5px; display: block; "">
        % if object.company_id.street:
            ${object.company_id.street}<br/>
        % endif
        % if object.company_id.street2:
            ${object.company_id.street2}<br/>
        % endif
        % if object.company_id.city or object.company_id.zip:
            ${object.company_id.zip} ${object.company_id.city}<br/>
        % endif
        % if object.company_id.country_id:
            ${object.company_id.state_id and ('%s, ' % object.company_id.state_id.name) or ''} ${object.company_id.country_id.name or ''}<br/>
        % endif
        </span>
        % if object.company_id.phone:
            <div style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; "">
                Phone:&nbsp; ${object.company_id.phone}
            </div>
        % endif
        % if object.company_id.website:
            <div>
                Web :&nbsp;<a href=""${object.company_id.website}"">${object.company_id.website}</a>
            </div>
        %endif
        <p></p>
    </div>
</div>
            "
account,help,"account.invoice,state",0," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.
 * The 'Pro-forma' when invoice is in Pro-forma status,invoice does not have an invoice number.
 * The 'Open' status is used when user create invoice,a invoice number is generated.Its in open status till user does not pay invoice.
 * The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
 * The 'Cancelled' status is used when user cancel invoice."," * 当用户编辑一张新的未确认的发票时为“草稿""状态。            
* 当一张发票无发票号码时为“形成”状态。             
* 当发票已创建，发票号已生成，但仍未发出，则为“启用”状态。             
* 当发票已收款，则会自动设置为“已收款”状态，发票的相关会计分录可以关联或不关联。            
* 当用户删除发票时为“删除”状态。"
account,code,addons\account\account.py,1465, Centralisation, Centralisation
account,field,"analytic.entries.report,nbr",0,# Entries,# 凭证
account,field,"account.chart.template,code_digits",0,# of Digits,# 数字
account,field,"account.config.settings,code_digits",0,# of Digits,# 数字
account,field,"wizard.multi.charts.accounts,code_digits",0,# of Digits,# 数字
account,view,account.entries.report,account.view_account_entries_report_tree,# of Entries,# 分录
account,field,"account.invoice.report,nbr",0,# of Invoices,发票
account,field,"account.entries.report,nbr",0,# of Items,# 明细
account,view,account.entries.report,account.view_account_entries_report_tree,# of Products Qty,# 产品数量
account,field,"account.move.line.reconcile,trans_nbr",0,# of Transaction,# 处理
account,model,"email.template,subject",account.email_template_edi_invoice,${object.company_id.name|safe} Invoice (Ref ${object.number or 'n/a'}),${object.company_id.name} 发票 (Ref ${object.number or 'n/a'})
account,code,addons\account\account.py,1860,%s (Copy),%s (Copy)
account,code,addons\account\account.py,635,%s (copy),%s (copy)
account,code,addons\account\account.py,786,%s (copy),%s (copy)
account,code,addons\account\account.py,787,%s (copy),%s (copy)
account,view,website,account.report_partnerbalance,(Account/Partner) Name,(业务伙伴/科目)名称
account,view,account.chart,account.view_account_chart,"(If you do not select a specific fiscal year, all open fiscal years will be selected.)",（如果你没有选择会计年度，所有打开的会计年度将被选择。）
account,view,account.tax.chart,account.view_account_tax_chart,"(If you do not select a specific period, all open periods will be selected)",（如果你不选择会计期间，所有打开状态的会计期间将被选择）
account,view,account.state.open,account.view_account_state_open,(Invoice should be unreconciled if you want to open it),(如果你想打开它发票要反核销)
account,view,account.analytic.chart,account.account_analytic_chart_view,(Keep empty to open the current situation),(当前状态留空为待处理)
account,view,project.account.analytic.line,account.view_project_account_analytic_line_form,(Keep empty to open the current situation),(当前状态留空为待处理)
account,view,account.invoice,account.invoice_form,(change),(改变)
account,view,account.bank.statement,account.view_bank_statement_form,(update),（更新）
account,view,account.invoice,account.invoice_form,(update),（更新）
account,view,account.invoice,account.invoice_supplier_form,(update),（更新）
account,view,account.bank.statement,account.view_bank_statement_form2,+ Transactions,+ 交易
account,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,15 天
account,model,"account.payment.term,note",account.account_payment_term_15days,15 Days,15 天
account,selection,"account.config.settings,period",0,3 Monthly,3个月
account,selection,"account.installer,period",0,3 Monthly,3个月
account,model,"account.payment.term,name",account.account_payment_term,30 Days End of Month,月结束为30天
account,model,"account.payment.term,note",account.account_payment_term,30 Days End of Month,月结束为30天
account,model,"account.payment.term,name",account.account_payment_term_net,30 Net Days,30天
account,model,"account.payment.term,note",account.account_payment_term_net,30 Net Days,30天
account,model,"account.payment.term,name",account.account_payment_term_advance,30% Advance End 30 Days,预付30%30天内支付余款
account,model,"account.payment.term,note",account.account_payment_term_advance,30% Advance End 30 Days,预付30%30天内支付余款
account,view,website,account.report_generalledger,: General ledger,:总账
account,view,website,account.report_trialbalance,: Trial Balance,:试算平衡
account,model,"ir.actions.act_window,help",account.action_account_period,"<p class=""oe_view_nocontent_create"">
                Click to add a fiscal period.
              </p><p>
                An accounting period typically is a month or a quarter. It
                usually corresponds to the periods of the tax declaration.
              </p>
            ","<p class=""oe_view_nocontent_create"">
单击添加一个会计期间.
</p><p>
会计期间通常是一个月或一个季度。它通常对应纳税申报的期间。
</p>
            "
account,model,"ir.actions.act_window,help",account.action_account_journal_form,"<p class=""oe_view_nocontent_create"">
                Click to add a journal.
              </p><p>
                A journal is used to record transactions of all accounting data
                related to the day-to-day business.
              </p><p>
                A typical company may use one journal per payment method (cash,
                bank accounts, checks), one purchase journal, one sale journal
                and one for miscellaneous information.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击来添加分录.
              </p><p>
                分类帐由用于记录相关日常
                业务的所有会计数据.
              </p><p>
                一般的公司采用支付方式（现金、银行帐户、
                支票）分录、采购分录、
                销售分录、杂项分录.
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_account_form,"<p class=""oe_view_nocontent_create"">
                Click to add an account.
              </p><p>
                An account is part of a ledger allowing your company
                to register all kinds of debit and credit transactions.
                Companies present their annual accounts in two main parts: the
                balance sheet and the income statement (profit and loss
                account). The annual accounts of a company are required by law
                to disclose a certain amount of information.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击增加一个科目。
              </p><p>
                科目是分类帐的组成部分，它记录公司
                所有种类的借方和贷方帐目，
                公司的年度帐分两部分：
                资产负债表和损益表（赢余或亏损帐），
                公司的年度帐是法律要求的，
                要公开特定内容的信息.
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_account_gain_loss,"<p class=""oe_view_nocontent_create"">
                Click to add an account.
              </p><p>
                When doing multi-currency transactions, you may loose or gain
                some amount due to changes of exchange rate. This menu gives
                you a forecast of the Gain or Loss you'd realized if those
                transactions were ended today. Only for accounts having a
                secondary currency set.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                点击添加一个账户.
              </p><p>
                在处理多币种交易时，由于汇率的变化，可能会产生汇兑收益或者损失。这个菜单提供给你一个假定在今天终结交易预测的损益。只有在账户有多币种时需要设置。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_invoice_tree1,"<p class=""oe_view_nocontent_create"">
                Click to create a customer invoice.
              </p><p>
                Odoo's electronic invoicing allows to ease and fasten the
                collection of customer payments. Your customer receives the
                invoice by email and he can pay online and/or import it
                in his own system.
              </p><p>
                The discussions with your customer are automatically displayed at
                the bottom of each invoice.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击创建一张客户发票。
              </p><p>
                OpenERP的电子发票允许你方便快捷地
                收取客户付款，客户也可通过电子邮件来接收发票、
                在线支付，或将数据导入到
                他自己的系统中。
              </p><p>
                你与客户的沟通记录会自动显示在
                相关发票的下方。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_invoice_tree3,"<p class=""oe_view_nocontent_create"">
                Click to create a customer refund.
              </p><p>
                A refund is a document that credits an invoice completely or
                partially.
              </p><p>
                Instead of manually creating a customer refund, you
                can generate it directly from the related customer invoice.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                点击创建一个客户退款。
              </p><p>
                可以进行全部退款或者部分退款。
              </p><p>
               除了可以手工创建退款，您还可以直接通过关联的客户的发票创建退款。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_move_journal_line,"<p class=""oe_view_nocontent_create"">
                Click to create a journal entry.
              </p><p>
                A journal entry consists of several journal items, each of
                which is either a debit or a credit transaction.
              </p><p>
                Odoo automatically creates one journal entry per accounting
                document: invoice, refund, supplier payment, bank statements,
                etc. So, you should record journal entries manually only/mainly
                for miscellaneous operations.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击创建一个会计分录。
              </p><p>
                会计分录由几个分类账项组成，每个项目为借方或贷方。
              </p><p>
                OpenERP自动创建会计文档的每种会计凭证，如发票、退款、供应商付款、银行帐单等。这样，你只需手工记录杂项的会计分录。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_view_bank_statement_tree,"<p class=""oe_view_nocontent_create"">
                Click to create a new cash log.
              </p><p>
                A Cash Register allows you to manage cash entries in your cash
                journals. This feature provides an easy way to follow up cash
                payments on a daily basis. You can enter the coins that are in
                your cash box, and then post entries when money comes in or
                goes out of the cash box.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                点击创建新的现金记录.
              </p><p>
                Cash Register可以使你在你的现金日记账中管理你的现金项目。
                这个特性提供了，按每天的方式来跟踪现金付款的方式。
                你可以查看在你钱箱中的每一分钱，并且在资金进出时创建记录。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_account_statement_operation_template,"<p class=""oe_view_nocontent_create"">
                Click to create a statement operation template.
              </p><p>
                Those can be used to quickly create a move line when reconciling
                your bank statements.
              </p>
            ","<p class=""oe_view_nocontent_create"">
单击添加一个对账操作模板.
</p><p>
这些可以被用为在反核销银行对账时快速的创建一个移动行。
</p>
            "
account,model,"ir.actions.act_window,help",account.action_account_type_form,"<p class=""oe_view_nocontent_create"">
                Click to define a new account type.
              </p><p>
                An account type is used to determine how an account is used in
                each journal. The deferral method of an account type determines
                the process for the annual closing. Reports such as the Balance
                Sheet and the Profit and Loss report use the category
                (profit/loss or balance sheet).
              </p>
            ","<p class=""oe_view_nocontent_create"">
                点击创建一个新的账户类型.
              </p><p>
                账户类型用来说明在各个日记账中如何使用这个账户。
                账户类型的递延方式决定了该账户在年终结账时的处理流程。
                财务报表，如资产负债表、利润表，将会使用这个分类。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_subscription_form,"<p class=""oe_view_nocontent_create"">
                Click to define a new recurring entry.
              </p><p>
                A recurring entry occurs on a recurrent basis from a specific
                date, i.e. corresponding to the signature of a contract or an
                agreement with a customer or a supplier. You can create such
                entries to automate the postings in the system.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击定义一个新的经常性日记帐分录.
              </p><p>
                经常性日记帐分录的产生是基于一种具体数据的
                重复发生，即，对于合同的同一个签署，或对于
                同一个客户，或同一个供应商的合同书，你可以
                创建一个这样的分录，让系统自动生成。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_tax_code_list,"<p class=""oe_view_nocontent_create"">
                Click to define a new tax code.
              </p><p>
                Depending on the country, a tax code is usually a cell to fill
                in your legal tax statement. Odoo allows you to define the
                tax structure and each tax computation will be registered in
                one or several tax code.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击定义一个新的税号.
              </p><p>
                根据国家要求，是填写法定税报表通常以
                税号为单位，OpenERP 允许你定义
                税种组成，每种税的计算会计入
                一个或多个税号。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_invoice_tree2,"<p class=""oe_view_nocontent_create"">
                Click to record a new supplier invoice.
              </p><p>
                You can control the invoice from your supplier according to
                what you purchased or received. Odoo can also generate
                draft invoices automatically from purchase orders or receipts.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击新建供应商发票。
              </p><p>
               你可以基于从供应商处采购或收到的货物来控制发票，OpenERP能够根据采购单或者收货单自动生成一张草稿状态的发票。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_bank_statement_tree,"<p class=""oe_view_nocontent_create"">
                Click to register a bank statement.
              </p><p>
                A bank statement is a summary of all financial transactions
                occurring over a given period of time on a bank account. You
                should receive this periodicaly from your bank.
              </p><p>
                Odoo allows you to reconcile a statement line directly with
                the related sale or puchase invoices.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击新建银行对帐单。
              </p><p>
                银行对帐单是银行帐户在一定时间内产生的财务往来汇总，你应该定期从银行收到这样的对帐单。
              </p><p>
                OpenERP允许你直接与相关的销售或采购发票对账。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_invoice_tree4,"<p class=""oe_view_nocontent_create"">
                Click to register a refund you received from a supplier.
              </p><p>
                Instead of creating the supplier refund manually, you can generate
                refunds and reconcile them directly from the related supplier invoice.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                单击记录你从供应商收到的退款.
              </p><p>
                不需要手工创建供应商退款，你可以从供应商发票生成退款，并且将它们直接关联。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_account_fiscalyear,"<p class=""oe_view_nocontent_create"">
                Click to start a new fiscal year.
              </p><p>
                Define your company's financial year according to your needs. A
                financial year is a period at the end of which a company's
                accounts are made up (usually 12 months). The financial year is
                usually referred to by the date in which it ends. For example,
                if a company's financial year ends November 30, 2011, then
                everything between December 1, 2010 and November 30, 2011
                would be referred to as FY 2011.
              </p>
            ","单击建立新的财年.
              </p><p>
                根据需要定义公司的会计年度。会计年度通常是公司的账户最后结转的期间，通常是12个月。会计年度通常和结束日期有关。例如，假如一个公司的会计年度结束在2011年11月30日，那么在2010年12月1日至2011年11月30日的每一个交易会被记录到2011会计年度。              </p>
            "
account,model,"ir.actions.act_window,help",account.action_account_moves_all_a,"<p class=""oe_view_nocontent_create"">
                Select the period and the journal you want to fill.
              </p><p>
                This view can be used by accountants in order to quickly record
                entries in Odoo. If you want to record a supplier invoice,
                start by recording the line of the expense account. Odoo
                will propose to you automatically the Tax related to this
                account and the counterpart ""Account Payable"".
              </p>
            ","<p class=""oe_view_nocontent_create"">
                选择期间和你要填写的分录。
              </p><p>
                会计人员可以此界面快速录入分类帐到OpenERP，如果你想录入
                供应商发票，可先录入费用科目，OpenERP会自动提示和此科目相关的税种和对方""应付科目""。
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_bank_tree,"<p class=""oe_view_nocontent_create"">
            Click to setup a new bank account. 
          </p><p>
            Configure your company's bank account and select those that must
            appear on the report footer.
          </p><p>
            If you use the accounting application of Odoo, journals and
            accounts will be created automatically based on these data.
          </p>
        ","<p class=""oe_view_nocontent_create"">
           单击设置一个新的银行账户。 
          </p><p>
            配置贵公司的银行账户，并选择在报表脚注必须显示的账户。
          </p><p>
           若使用OpenERP的会计应用,分录和科目将按这些数据自动创建。
          </p>
        "
account,model,"ir.actions.act_window,help",account.action_account_manual_reconcile,"<p>
                    No journal items found.
                </p>
            ","<p>
                    凭证簿明细未找到.
                </p>
            "
account,model,"ir.actions.act_window,help",account.action_account_analytic_account_tree2,"<p>
                Click to add a new analytic account.
              </p><p>
                The normal chart of accounts has a structure defined by the
                legal requirement of the country. The analytic chart of
                accounts structure should reflect your own business needs in
                term of costs/revenues reporting.
              </p><p>
                They are usually structured by contracts, projects, products or
                departements. Most of the Odoo operations (invoices,
                timesheets, expenses, etc) generate analytic entries on the
                related account.
              </p>
            ","<p>
                点击这里创建新 文档</p><p>
                单击添加一个新的分析科目.
              </p><p>
                正规的会计科目表有国家
                法定要求的内容，帐户的分析
                科目应反映企业自身的业务
                成本/收入分析和报告的需要。
              </p><p>
                它们通常由合约、项目、产品或
                部门构成，多数的OpenERP运用程序
                （发票、时间表、费用等）会在
                相关的帐户生成分析分录。
              </p>
            "
account,view,account.bank.statement,account.view_bank_statement_form2,= Theoretical Closing Balance,=理论的期末余额
account,model,"ir.model,name",account.model_temp_range,A Temporary table used for Dashboard view,用于控制面板视图的临时表
account,model,"ir.actions.act_window,help",account.action_account_period_tree,"A period is a fiscal period of time during which accounting entries should be recorded for accounting related activities. Monthly period is the norm but depending on your countries or company needs, you could also have quarterly periods. Closing a period will make it impossible to record new accounting entries, all new entries should then be made on the following open period. Close a period when you do not want to record new entries and want to lock this period for tax related calculation.",会计期间是对会计记录人为规定的时间段。一般按月分期，按贵公司所在国家的需要也可以按季度分期。关闭的会计期间不能继续记账，只能记账在后面的会计期间。如果希望不能创建新的凭证或发生税额变动请关闭会计期间。
account,code,addons\account\account_bank_statement.py,743,A selected move line was already reconciled.,A selected move line was already reconciled.
account,sql_constraint,account.fiscal.position.tax,0,A tax fiscal position could be defined only once time on same taxes.,同样的税上面一次只能定义一个税务替换规则。
account,view,website,account.report_centraljournal,A/C No.,A/C 号
account,view,account.entries.report,account.view_account_entries_report_search,Acc.Type,科目类型
account,view,account.account,account.view_account_form,Account,科目
account,view,account.account,account.view_account_search,Account,科目
account,field,"account.automatic.reconcile,writeoff_acc_id",0,Account,科目
account,field,"account.bank.statement.line,account_id",0,Account,科目
account,field,"account.entries.report,account_id",0,Account,科目
account,field,"account.invoice,account_id",0,Account,科目
account,field,"account.invoice.line,account_id",0,Account,科目
account,field,"account.invoice.report,account_id",0,Account,科目
account,field,"account.journal,account_control_ids",0,Account,科目
account,field,"account.model.line,account_id",0,Account,科目
account,view,account.move.line,account.view_account_move_line_filter,Account,科目
account,field,"account.move.line,account_id",0,Account,科目
account,field,"account.move.line.reconcile.select,account_id",0,Account,科目
account,field,"account.move.line.unreconcile.select,account_id",0,Account,科目
account,field,"account.statement.operation.template,account_id",0,Account,科目
account,code,addons\account\static\src\js\account_widgets.js,59,Account,Account
account,code,addons\account\static\src\js\account_widgets.js,65,Account,Account
account,code,addons\account\static\src\xml\account_bank_statement_reconciliation.xml,139,Account,Account
account,code,addons\account\static\src\xml\account_bank_statement_reconciliation.xml,161,Account,Account
account,view,analytic.entries.report,account.view_analytic_entries_report_search,Account,科目
account,field,"analytic.entries.report,account_id",0,Account,科目
account,model,"ir.model,name",account.model_account_account,Account,科目
account,field,"report.account.sales,account_id",0,Account,科目
account,view,website,account.report_journal,Account,科目
account,view,website,account.report_partnerledger,Account,科目
account,view,website,account.report_partnerledgerother,Account,科目
account,view,website,account.report_salepurchasejournal,Account,科目
account,view,website,account.report_trialbalance,Account,科目
account,model,"ir.model,name",account.model_account_aged_trial_balance,Account Aged Trial balance Report,科目的试算平衡报告
account,model,"ir.model,name",account.model_account_analytic_balance,Account Analytic Balance,辅助核算平衡
account,model,"ir.model,name",account.model_account_analytic_chart,Account Analytic Chart,辅助核算项一览表
account,model,"ir.model,name",account.model_account_analytic_cost_ledger,Account Analytic Cost Ledger,成本科目明细分析
account,model,"ir.model,name",account.model_account_analytic_cost_ledger_journal_report,Account Analytic Cost Ledger For Journal Report,分析本期成本明细账的报告
account,model,"ir.model,name",account.model_account_analytic_inverted_balance,Account Analytic Inverted Balance,辅助核算反向余额
account,model,"ir.model,name",account.model_account_analytic_journal_report,Account Analytic Journal,辅助核算凭证簿
account,model,"ir.actions.act_window,name",account.action_account_automatic_reconcile,Account Automatic Reconcile,科目自动对账
account,field,"account.tax,base_code_id",0,Account Base Code,税基编码
account,model,"ir.actions.act_window,name",account.action_account_central_journal,Account Central Journal,汇总分录
account,model,"ir.model,name",account.model_account_central_journal,Account Central Journal,汇总分录
account,view,account.account,account.view_account_form,Account Code and Name,科目代码和名称
account,model,"ir.model,name",account.model_account_common_account_report,Account Common Account Report,科目合并的科目报告
account,model,"ir.model,name",account.model_account_common_journal_report,Account Common Journal Report,科目常用账簿报告
account,model,"ir.model,name",account.model_account_common_partner_report,Account Common Partner Report,业务伙伴普通报告
account,model,"ir.model,name",account.model_account_common_report,Account Common Report,通用报告
account,field,"account.analytic.line,currency_id",0,Account Currency,币种
account,field,"account.fiscal.position.account,account_dest_id",0,Account Destination,替代科目
account,field,"account.fiscal.position.account.template,account_dest_id",0,Account Destination,替代科目
account,view,account.move,account.view_move_form,Account Entry,科目分录
account,model,"ir.model,name",account.model_account_move,Account Entry,科目分录
account,model,"ir.actions.act_window,name",account.action_account_general_journal,Account General Journal,科目总账分录
account,model,"ir.model,name",account.model_account_general_journal,Account General Journal,科目总账分录
account,view,account.journal,account.view_account_journal_form,Account Journal,会计分录
account,view,account.journal,account.view_account_journal_tree,Account Journal,会计分录
account,field,"res.partner.bank,journal_id",0,Account Journal,会计分录
account,model,"ir.model,name",account.model_account_journal_select,Account Journal Select,选择分录
account,field,"account.invoice.report,account_line_id",0,Account Line,发票明细
